,station,net_entries,net_exits,cdtaCode,borough
286,mt_eden_av,3989,3989,BX04,Bronx
287,myrtle_av,3910,3910,BK03,Brooklyn
288,myrtle_willough,7240,7240,BK03,Brooklyn
289,myrtle_wyckoff,13183,13183,BK04,Brooklyn
290,nassau_av,14365,14365,BK01,Brooklyn
291,neck_rd,7215,7215,BK15,Brooklyn
292,neptune_av,3049,3049,BK13,Brooklyn
293,nereid_av,3071,3071,BX12,Bronx
294,nevins_st,10165,10165,BK02,Brooklyn
295,new_lots,3061,3061,BK16,Brooklyn
296,new_lots_av,6146,6146,BK16,Brooklyn
297,new_utrecht_av,13421,13421,BK11,Brooklyn
298,newark_bm_bw,17410,17410,BK17,Brooklyn
299,newark_c,17464,17464,BK17,Brooklyn
300,newark_hm_he,17378,17378,BK17,Brooklyn
301,newark_hw_bmebe,17524,17524,,
302,newkirk_av,9333,9333,BK17,Brooklyn
303,newkirk_plaza,5064,5064,BK14,Brooklyn
304,northern_blvd,9287,9287,QN02,Queens
305,norwood_205_st,8199,8199,BX07,Bronx
306,norwood_av,3009,3009,BK05,Brooklyn
307,nostrand_av,15161,15161,BK09,Brooklyn
308,ocean_pkwy,7208,7208,BK13,Brooklyn
309,orchard_beach,982,982,BK13,Brooklyn
310,ozone_pk_leffrt,10138,10138,QN10,Queens
311,park_place,9288,9288,MN01,Manhattan
312,parkchester,11975,11975,BX09,Bronx
313,parkside_av,3071,3071,BK09,Brooklyn
314,parsons_blvd,11225,11225,QN12,Queens
315,path_new_wtc,42190,42190,,
316,path_wtc_2,4514,4514,,
317,pavonia_newport,10655,10655,,
318,pelham_bay_park,9164,9164,BX10,Bronx
319,pelham_pkwy,12386,12386,BX11,Bronx
320,pennsylvania_av,4124,4124,BK05,Brooklyn
321,president_st,3069,3069,BK09,Brooklyn
322,prince_st,10178,10178,MN02,Manhattan
323,prospect_av,13021,13021,BX01,Bronx
324,prospect_park,8159,8159,BK09,Brooklyn
325,queens_plaza,24526,24526,QN01,Queens
326,queensboro_plz,6009,6009,QN02,Queens
327,ralph_av,4058,4058,BK16,Brooklyn
328,rector_st,20473,20473,MN01,Manhattan
329,rit_manhattan,4111,4111,,
330,rit_roosevelt,6167,6167,MN08,Manhattan
331,rockaway_av,13319,13319,BK16,Brooklyn
